source,receiver,start,end,year,method,id
HARK,CVZ,91,121,2022,all,159
HARK,CVZ,121,152,2022,all,160
HARK,CVZ,152,182,2022,all,161
HARK,CVZ,182,213,2022,all,162
HARK,CVZ,213,244,2022,all,163
HARK,CVZ,244,274,2022,all,164
HARK,CVZ,274,305,2022,all,165
HARK,CVZ,305,335,2022,all,166
HARK,CVZ,335,365,2022,all,167
HARK,MSZ,1,32,2022,all,168
HARK,MSZ,32,60,2022,all,169
HARK,MSZ,60,91,2022,all,170
HARK,MSZ,91,121,2022,all,171
HARK,MSZ,121,152,2022,all,172
HARK,MSZ,152,182,2022,all,173
HARK,MSZ,182,213,2022,all,174
HARK,MSZ,213,244,2022,all,175
HARK,MSZ,244,274,2022,all,176
HARK,MSZ,274,305,2022,all,177
HARK,MSZ,305,335,2022,all,178
HARK,MSZ,335,365,2022,all,179
HARK,WKZ,1,32,2022,all,180
HARK,WKZ,32,60,2022,all,181
HARK,WKZ,60,91,2022,all,182
HARK,WKZ,91,121,2022,all,183
HARK,WKZ,121,152,2022,all,184
HARK,WKZ,152,182,2022,all,185
HARK,WKZ,182,213,2022,all,186
HARK,WKZ,213,244,2022,all,187
HARK,WKZ,244,274,2022,all,188
HARK,WKZ,274,305,2022,all,189
HARK,WKZ,305,335,2022,all,190
HARK,WKZ,335,365,2022,all,191
HARK,ODZ,1,32,2022,all,192
HARK,ODZ,32,60,2022,all,193
HARK,ODZ,60,91,2022,all,194
HARK,ODZ,91,121,2022,all,195
HARK,ODZ,121,152,2022,all,196
HARK,ODZ,152,182,2022,all,197
HARK,ODZ,182,213,2022,all,198
HARK,ODZ,213,244,2022,all,199
HARK,ODZ,244,274,2022,all,200
HARK,ODZ,274,305,2022,all,201
HARK,ODZ,305,335,2022,all,202
HARK,ODZ,335,365,2022,all,203
HARK,EAZ,1,32,2022,all,204
HARK,EAZ,32,60,2022,all,205
HARK,EAZ,60,91,2022,all,206
HARK,EAZ,91,121,2022,all,207
HARK,EAZ,121,152,2022,all,208
HARK,EAZ,152,182,2022,all,209
HARK,EAZ,182,213,2022,all,210
HARK,EAZ,213,244,2022,all,211
HARK,EAZ,244,274,2022,all,212
HARK,EAZ,274,305,2022,all,213
HARK,EAZ,305,335,2022,all,214
HARK,EAZ,335,365,2022,all,215
HARK,MLZ,1,32,2022,all,216
HARK,MLZ,32,60,2022,all,217
HARK,MLZ,60,91,2022,all,218
HARK,MLZ,91,121,2022,all,219
HARK,MLZ,121,152,2022,all,220
HARK,MLZ,152,182,2022,all,221
HARK,MLZ,182,213,2022,all,222
HARK,MLZ,213,244,2022,all,223
HARK,MLZ,244,274,2022,all,224
HARK,MLZ,274,305,2022,all,225
HARK,MLZ,305,335,2022,all,226
HARK,MLZ,335,365,2022,all,227
HARK,DCZ,1,32,2022,all,228
HARK,DCZ,32,60,2022,all,229
HARK,DCZ,60,91,2022,all,230
HARK,DCZ,91,121,2022,all,231
HARK,DCZ,121,152,2022,all,232
HARK,DCZ,152,182,2022,all,233
HARK,DCZ,182,213,2022,all,234
HARK,DCZ,213,244,2022,all,235
HARK,DCZ,244,274,2022,all,236
HARK,DCZ,274,305,2022,all,237
HARK,DCZ,305,335,2022,all,238
HARK,DCZ,335,365,2022,all,239
HARK,PYZ,1,32,2022,all,240
HARK,PYZ,32,60,2022,all,241
HARK,PYZ,60,91,2022,all,242
HARK,PYZ,91,121,2022,all,243
HARK,PYZ,121,152,2022,all,244
HARK,PYZ,152,182,2022,all,245
HARK,PYZ,182,213,2022,all,246
HARK,PYZ,213,244,2022,all,247
HARK,PYZ,244,274,2022,all,248
HARK,PYZ,274,305,2022,all,249
HARK,PYZ,305,335,2022,all,250
HARK,PYZ,335,365,2022,all,251
HARK,WHZ,1,32,2022,all,252
HARK,WHZ,32,60,2022,all,253
HARK,WHZ,60,91,2022,all,254
HARK,WHZ,91,121,2022,all,255
HARK,WHZ,121,152,2022,all,256
HARK,WHZ,152,182,2022,all,257
HARK,WHZ,182,213,2022,all,258
HARK,WHZ,213,244,2022,all,259
HARK,WHZ,244,274,2022,all,260
HARK,WHZ,274,305,2022,all,261
HARK,WHZ,305,335,2022,all,262
HARK,WHZ,335,365,2022,all,263
HARK,TUZ,1,32,2022,all,264
HARK,TUZ,32,60,2022,all,265
HARK,TUZ,60,91,2022,all,266
HARK,TUZ,91,121,2022,all,267
HARK,TUZ,121,152,2022,all,268
HARK,TUZ,152,182,2022,all,269
HARK,TUZ,182,213,2022,all,270
HARK,TUZ,213,244,2022,all,271
HARK,TUZ,244,274,2022,all,272
HARK,TUZ,274,305,2022,all,273
HARK,TUZ,305,335,2022,all,274
HARK,TUZ,335,365,2022,all,275
HARK,SYZ,1,32,2022,all,276
HARK,SYZ,32,60,2022,all,277
HARK,SYZ,60,91,2022,all,278
HARK,SYZ,91,121,2022,all,279
HARK,SYZ,121,152,2022,all,280
HARK,SYZ,152,182,2022,all,281
HARK,SYZ,182,213,2022,all,282
HARK,SYZ,213,244,2022,all,283
HARK,SYZ,244,274,2022,all,284
HARK,SYZ,274,305,2022,all,285
HARK,SYZ,305,335,2022,all,286
HARK,SYZ,335,365,2022,all,287
HARK,WEL,1,32,2022,all,288
HARK,WEL,32,60,2022,all,289
HARK,WEL,60,91,2022,all,290
HARK,WEL,91,121,2022,all,291
HARK,WEL,121,152,2022,all,292
HARK,WEL,152,182,2022,all,293
HARK,WEL,182,213,2022,all,294
HARK,WEL,213,244,2022,all,295
HARK,WEL,244,274,2022,all,296
HARK,WEL,274,305,2022,all,297
HARK,WEL,305,335,2022,all,298
HARK,WEL,335,365,2022,all,299
WAIT,MQZ,1,32,2022,all,300
WAIT,MQZ,32,60,2022,all,301
WAIT,MQZ,60,91,2022,all,302
WAIT,MQZ,91,121,2022,all,303
WAIT,MQZ,121,152,2022,all,304
WAIT,MQZ,152,182,2022,all,305
WAIT,MQZ,182,213,2022,all,306
WAIT,MQZ,213,244,2022,all,307
WAIT,MQZ,244,274,2022,all,308
WAIT,MQZ,274,305,2022,all,309
WAIT,MQZ,305,335,2022,all,310
WAIT,MQZ,335,365,2022,all,311
WAIT,OPZ,1,32,2022,all,312
WAIT,OPZ,32,60,2022,all,313
WAIT,OPZ,60,91,2022,all,314
WAIT,OPZ,91,121,2022,all,315
WAIT,OPZ,121,152,2022,all,316
WAIT,OPZ,152,182,2022,all,317
WAIT,OPZ,182,213,2022,all,318
WAIT,OPZ,213,244,2022,all,319
WAIT,OPZ,244,274,2022,all,320
WAIT,OPZ,274,305,2022,all,321
WAIT,OPZ,305,335,2022,all,322
WAIT,OPZ,335,365,2022,all,323
WAIT,QRZ,1,32,2022,all,324
WAIT,QRZ,32,60,2022,all,325
WAIT,QRZ,60,91,2022,all,326
WAIT,QRZ,91,121,2022,all,327
WAIT,QRZ,121,152,2022,all,328
WAIT,QRZ,152,182,2022,all,329
WAIT,QRZ,182,213,2022,all,330
WAIT,QRZ,213,244,2022,all,331
WAIT,QRZ,244,274,2022,all,332
WAIT,QRZ,274,305,2022,all,333
WAIT,QRZ,305,335,2022,all,334
WAIT,QRZ,335,365,2022,all,335
WAIT,NNZ,1,32,2022,all,336
WAIT,NNZ,32,60,2022,all,337
WAIT,NNZ,60,91,2022,all,338
WAIT,NNZ,91,121,2022,all,339
WAIT,NNZ,121,152,2022,all,340
WAIT,NNZ,152,182,2022,all,341
WAIT,NNZ,182,213,2022,all,342
WAIT,NNZ,213,244,2022,all,343
WAIT,NNZ,244,274,2022,all,344
WAIT,NNZ,274,305,2022,all,345
WAIT,NNZ,305,335,2022,all,346
WAIT,NNZ,335,365,2022,all,347
WAIT,DSZ,1,32,2022,all,348
WAIT,DSZ,32,60,2022,all,349
WAIT,DSZ,60,91,2022,all,350
WAIT,DSZ,91,121,2022,all,351
WAIT,DSZ,121,152,2022,all,352
WAIT,DSZ,152,182,2022,all,353
WAIT,DSZ,182,213,2022,all,354
WAIT,DSZ,213,244,2022,all,355
WAIT,DSZ,244,274,2022,all,356
WAIT,DSZ,274,305,2022,all,357
WAIT,DSZ,305,335,2022,all,358
WAIT,DSZ,335,365,2022,all,359
WAIT,THZ,1,32,2022,all,360
WAIT,THZ,32,60,2022,all,361
WAIT,THZ,60,91,2022,all,362
WAIT,THZ,91,121,2022,all,363
WAIT,THZ,121,152,2022,all,364
WAIT,THZ,152,182,2022,all,365
WAIT,THZ,182,213,2022,all,366
WAIT,THZ,213,244,2022,all,367
WAIT,THZ,244,274,2022,all,368
WAIT,THZ,274,305,2022,all,369
WAIT,THZ,305,335,2022,all,370
WAIT,THZ,335,365,2022,all,371
WAIT,KHZ,1,32,2022,all,372
WAIT,KHZ,32,60,2022,all,373
WAIT,KHZ,60,91,2022,all,374
WAIT,KHZ,91,121,2022,all,375
WAIT,KHZ,121,152,2022,all,376
WAIT,KHZ,152,182,2022,all,377
WAIT,KHZ,182,213,2022,all,378
WAIT,KHZ,213,244,2022,all,379
WAIT,KHZ,244,274,2022,all,380
WAIT,KHZ,274,305,2022,all,381
WAIT,KHZ,305,335,2022,all,382
WAIT,KHZ,335,365,2022,all,383
WAIT,LTZ,1,32,2022,all,384
WAIT,LTZ,32,60,2022,all,385
WAIT,LTZ,60,91,2022,all,386
WAIT,LTZ,91,121,2022,all,387
WAIT,LTZ,121,152,2022,all,388
WAIT,LTZ,152,182,2022,all,389
WAIT,LTZ,182,213,2022,all,390
WAIT,LTZ,213,244,2022,all,391
WAIT,LTZ,244,274,2022,all,392
WAIT,LTZ,274,305,2022,all,393
WAIT,LTZ,305,335,2022,all,394
WAIT,LTZ,335,365,2022,all,395
WAIT,GVZ,1,32,2022,all,396
WAIT,GVZ,32,60,2022,all,397
WAIT,GVZ,60,91,2022,all,398
WAIT,GVZ,91,121,2022,all,399
WAIT,GVZ,121,152,2022,all,400
WAIT,GVZ,152,182,2022,all,401
WAIT,GVZ,182,213,2022,all,402
WAIT,GVZ,213,244,2022,all,403
WAIT,GVZ,244,274,2022,all,404
WAIT,GVZ,274,305,2022,all,405
WAIT,GVZ,305,335,2022,all,406
WAIT,GVZ,335,365,2022,all,407
WAIT,WVZ,1,32,2022,all,408
WAIT,WVZ,32,60,2022,all,409
WAIT,WVZ,60,91,2022,all,410
WAIT,WVZ,91,121,2022,all,411
WAIT,WVZ,121,152,2022,all,412
WAIT,WVZ,152,182,2022,all,413
WAIT,WVZ,182,213,2022,all,414
WAIT,WVZ,213,244,2022,all,415
WAIT,WVZ,244,274,2022,all,416
WAIT,WVZ,274,305,2022,all,417
WAIT,WVZ,305,335,2022,all,418
WAIT,WVZ,335,365,2022,all,419
WAIT,OXZ,1,32,2022,all,420
WAIT,OXZ,32,60,2022,all,421
WAIT,OXZ,60,91,2022,all,422
WAIT,OXZ,91,121,2022,all,423
WAIT,OXZ,121,152,2022,all,424
WAIT,OXZ,152,182,2022,all,425
WAIT,OXZ,182,213,2022,all,426
WAIT,OXZ,213,244,2022,all,427
WAIT,OXZ,244,274,2022,all,428
WAIT,OXZ,274,305,2022,all,429
WAIT,OXZ,305,335,2022,all,430
WAIT,OXZ,335,365,2022,all,431
WAIT,RPZ,1,32,2022,all,432
WAIT,RPZ,32,60,2022,all,433
WAIT,RPZ,60,91,2022,all,434
WAIT,RPZ,91,121,2022,all,435
WAIT,RPZ,121,152,2022,all,436
WAIT,RPZ,152,182,2022,all,437
WAIT,RPZ,182,213,2022,all,438
WAIT,RPZ,213,244,2022,all,439
