source,receiver,start,end,year,method,id
MTFO,RNLD,335,365,2021,cohe,139
MTFO,MQZ,1,32,2022,cohe,140
MTFO,MQZ,32,60,2022,cohe,141
MTFO,MQZ,60,91,2022,cohe,142
MTFO,MQZ,91,121,2022,cohe,143
MTFO,MQZ,121,152,2022,cohe,144
MTFO,MQZ,152,182,2022,cohe,145
MTFO,MQZ,182,213,2022,cohe,146
MTFO,MQZ,213,244,2022,cohe,147
MTFO,MQZ,244,274,2022,cohe,148
MTFO,MQZ,274,305,2022,cohe,149
MTFO,MQZ,305,335,2022,cohe,150
MTFO,MQZ,335,365,2022,cohe,151
MTFO,OPZ,1,32,2022,cohe,152
MTFO,OPZ,32,60,2022,cohe,153
MTFO,OPZ,60,91,2022,cohe,154
MTFO,OPZ,91,121,2022,cohe,155
MTFO,OPZ,121,152,2022,cohe,156
MTFO,OPZ,152,182,2022,cohe,157
MTFO,OPZ,182,213,2022,cohe,158
MTFO,OPZ,213,244,2022,cohe,159
MTFO,OPZ,244,274,2022,cohe,160
MTFO,OPZ,274,305,2022,cohe,161
MTFO,OPZ,305,335,2022,cohe,162
MTFO,OPZ,335,365,2022,cohe,163
MTFO,QRZ,1,32,2022,cohe,164
MTFO,QRZ,32,60,2022,cohe,165
MTFO,QRZ,60,91,2022,cohe,166
MTFO,QRZ,91,121,2022,cohe,167
MTFO,QRZ,121,152,2022,cohe,168
MTFO,QRZ,152,182,2022,cohe,169
MTFO,QRZ,182,213,2022,cohe,170
MTFO,QRZ,213,244,2022,cohe,171
MTFO,QRZ,244,274,2022,cohe,172
MTFO,QRZ,274,305,2022,cohe,173
MTFO,QRZ,305,335,2022,cohe,174
MTFO,QRZ,335,365,2022,cohe,175
MTFO,NNZ,1,32,2022,cohe,176
MTFO,NNZ,32,60,2022,cohe,177
MTFO,NNZ,60,91,2022,cohe,178
MTFO,NNZ,91,121,2022,cohe,179
MTFO,NNZ,121,152,2022,cohe,180
MTFO,NNZ,152,182,2022,cohe,181
MTFO,NNZ,182,213,2022,cohe,182
MTFO,NNZ,213,244,2022,cohe,183
MTFO,NNZ,244,274,2022,cohe,184
MTFO,NNZ,274,305,2022,cohe,185
MTFO,NNZ,305,335,2022,cohe,186
MTFO,NNZ,335,365,2022,cohe,187
MTFO,DSZ,1,32,2022,cohe,188
MTFO,DSZ,32,60,2022,cohe,189
MTFO,DSZ,60,91,2022,cohe,190
MTFO,DSZ,91,121,2022,cohe,191
MTFO,DSZ,121,152,2022,cohe,192
MTFO,DSZ,152,182,2022,cohe,193
MTFO,DSZ,182,213,2022,cohe,194
MTFO,DSZ,213,244,2022,cohe,195
MTFO,DSZ,244,274,2022,cohe,196
MTFO,DSZ,274,305,2022,cohe,197
MTFO,DSZ,305,335,2022,cohe,198
MTFO,DSZ,335,365,2022,cohe,199
MTFO,THZ,1,32,2022,cohe,200
MTFO,THZ,32,60,2022,cohe,201
MTFO,THZ,60,91,2022,cohe,202
MTFO,THZ,91,121,2022,cohe,203
MTFO,THZ,121,152,2022,cohe,204
MTFO,THZ,152,182,2022,cohe,205
MTFO,THZ,182,213,2022,cohe,206
MTFO,THZ,213,244,2022,cohe,207
MTFO,THZ,244,274,2022,cohe,208
MTFO,THZ,274,305,2022,cohe,209
MTFO,THZ,305,335,2022,cohe,210
MTFO,THZ,335,365,2022,cohe,211
MTFO,KHZ,1,32,2022,cohe,212
MTFO,KHZ,32,60,2022,cohe,213
MTFO,KHZ,60,91,2022,cohe,214
MTFO,KHZ,91,121,2022,cohe,215
MTFO,KHZ,121,152,2022,cohe,216
MTFO,KHZ,152,182,2022,cohe,217
MTFO,KHZ,182,213,2022,cohe,218
MTFO,KHZ,213,244,2022,cohe,219
MTFO,KHZ,244,274,2022,cohe,220
MTFO,KHZ,274,305,2022,cohe,221
MTFO,KHZ,305,335,2022,cohe,222
MTFO,KHZ,335,365,2022,cohe,223
MTFO,LTZ,1,32,2022,cohe,224
MTFO,LTZ,32,60,2022,cohe,225
MTFO,LTZ,60,91,2022,cohe,226
MTFO,LTZ,91,121,2022,cohe,227
MTFO,LTZ,121,152,2022,cohe,228
MTFO,LTZ,152,182,2022,cohe,229
MTFO,LTZ,182,213,2022,cohe,230
MTFO,LTZ,213,244,2022,cohe,231
MTFO,LTZ,244,274,2022,cohe,232
MTFO,LTZ,274,305,2022,cohe,233
MTFO,LTZ,305,335,2022,cohe,234
MTFO,LTZ,335,365,2022,cohe,235
MTFO,GVZ,1,32,2022,cohe,236
MTFO,GVZ,32,60,2022,cohe,237
MTFO,GVZ,60,91,2022,cohe,238
MTFO,GVZ,91,121,2022,cohe,239
MTFO,GVZ,121,152,2022,cohe,240
MTFO,GVZ,152,182,2022,cohe,241
MTFO,GVZ,182,213,2022,cohe,242
MTFO,GVZ,213,244,2022,cohe,243
MTFO,GVZ,244,274,2022,cohe,244
MTFO,GVZ,274,305,2022,cohe,245
MTFO,GVZ,305,335,2022,cohe,246
MTFO,GVZ,335,365,2022,cohe,247
MTFO,WVZ,1,32,2022,cohe,248
MTFO,WVZ,32,60,2022,cohe,249
MTFO,WVZ,60,91,2022,cohe,250
MTFO,WVZ,91,121,2022,cohe,251
MTFO,WVZ,121,152,2022,cohe,252
MTFO,WVZ,152,182,2022,cohe,253
MTFO,WVZ,182,213,2022,cohe,254
MTFO,WVZ,213,244,2022,cohe,255
MTFO,WVZ,244,274,2022,cohe,256
MTFO,WVZ,274,305,2022,cohe,257
MTFO,WVZ,305,335,2022,cohe,258
MTFO,WVZ,335,365,2022,cohe,259
MTFO,OXZ,1,32,2022,cohe,260
MTFO,OXZ,32,60,2022,cohe,261
MTFO,OXZ,60,91,2022,cohe,262
MTFO,OXZ,91,121,2022,cohe,263
